x0000,y0000
636,108,
637,118,
638,115,
639,122,
640,117,
641,114,
642,124,
643,120,
644,110,
645,124,
646,135,
647,104,
648,110,
649,119,
650,125,
651,117,
652,118,
653,128,
654,140,
655,138,
656,133,
657,136,
658,134,
659,137,
660,141,
661,134,
662,133,
663,137,
664,144,
665,142,
666,134,
667,146,
668,119,
669,153,
670,144,
671,160,
672,151,
673,153,
674,147,
675,153,
676,173,
677,162,
678,153,
679,169,
680,162,
681,165,
682,161,
683,164,
684,169,
685,170,
686,178,
687,158,
688,177,
689,186,
690,189,
691,183,
692,179,
693,183,
694,188,
695,168,
696,175,
697,202,
698,192,
699,197,
700,190,
701,202,
702,202,
703,209,
704,202,
705,188,
706,204,
707,198,
708,209,
709,213,
710,203,
711,210,
712,231,
713,220,
714,227,
715,204,
716,229,
717,227,
718,239,
719,215,
720,247,
721,232,
722,239,
723,238,
724,243,
725,230,
726,242,
727,237,
728,242,
729,243,
730,232,
731,249,
732,247,
733,240,
734,251,
735,247,
736,233,
737,246,
738,249,
739,232,
740,259,
741,265,
742,261,
743,266,
744,258,
745,275,
746,265,
747,263,
748,276,
749,266,
750,262,
751,278,
752,264,
753,273,
754,270,
755,293,
756,287,
757,273,
758,280,
759,292,
760,298,
761,306,
762,295,
763,297,
764,298,
765,297,
766,296,
767,329,
768,302,
769,300,
770,326,
771,317,
772,317,
773,331,
774,335,
775,330,
776,346,
777,343,
778,341,
779,327,
780,341,
781,336,
782,355,
783,351,
784,371,
785,391,
786,371,
787,393,
788,403,
789,397,
790,386,
791,395,
792,406,
793,419,
794,425,
795,405,
796,426,
797,432,
798,449,
799,430,
800,441,
801,467,
802,478,
803,475,
804,468,
805,481,
806,501,
807,482,
808,492,
809,505,
810,522,
811,534,
812,558,
813,553,
814,550,
815,551,
816,544,
817,575,
818,578,
819,590,
820,588,
821,597,
822,601,
823,611,
824,625,
825,646,
826,641,
827,643,
828,665,
829,667,
830,675,
831,684,
832,692,
833,704,
834,725,
835,719,
836,733,
837,750,
838,748,
839,772,
840,782,
841,771,
842,770,
843,794,
844,799,
845,796,
846,804,
847,827,
848,843,
849,846,
850,857,
851,892,
852,889,
853,895,
854,884,
855,883,
856,911,
857,909,
858,932,
859,925,
860,925,
861,933,
862,958,
863,962,
864,943,
865,974,
866,976,
867,981,
868,985,
869,1020,
870,1025,
871,1021,
872,1036,
873,1036,
874,1037,
875,1057,
876,1054,
877,1065,
878,1072,
879,1076,
880,1084,
881,1091,
882,1102,
883,1105,
884,1098,
885,1115,
886,1122,
887,1125,
888,1144,
889,1151,
890,1141,
891,1139,
892,1159,
893,1185,
894,1192,
895,1182,
896,1187,
897,1191,
898,1186,
899,1218,
900,1207,
901,1201,
902,1227,
903,1231,
904,1239,
905,1234,
906,1247,
907,1280,
908,1273,
909,1303,
910,1272,
911,1274,
912,1262,
913,1295,
914,1299,
915,1288,
916,1296,
917,1309,
918,1303,
919,1320,
920,1325,
921,1316,
922,1311,
923,1338,
924,1347,
925,1335,
926,1342,
927,1360,
928,1363,
929,1351,
930,1368,
931,1318,
932,1357,
933,1370,
934,1393,
935,1381,
936,1394,
937,1382,
938,1398,
939,1406,
940,1427,
941,1408,
942,1408,
943,1423,
944,1441,
945,1436,
946,1445,
947,1454,
948,1454,
949,1457,
950,1469,
951,1445,
952,1471,
953,1429,
954,1480,
955,1480,
956,1480,
957,1461,
958,1480,
959,1484,
960,1475,
961,1484,
962,1496,
963,1499,
964,1502,
965,1497,
966,1481,
967,1485,
968,1492,
969,1516,
970,1513,
971,1504,
972,1521,
973,1523,
974,1550,
975,1499,
976,1544,
977,1561,
978,1550,
979,1553,
980,1540,
981,1578,
982,1574,
983,1567,
984,1579,
985,1593,
986,1567,
987,1586,
988,1604,
989,1586,
990,1574,
991,1601,
992,1597,
993,1593,
994,1591,
995,1629,
996,1619,
997,1627,
998,1634,
999,1643,
1000,1652,
1001,1632,
1002,1665,
1003,1668,
1004,1625,
1005,1672,
1006,1644,
1007,1679,
1008,1685,
1009,1689,
1010,1664,
1011,1691,
1012,1691,
1013,1692,
1014,1683,
1015,1702,
1016,1678,
1017,1695,
1018,1720,
1019,1700,
1020,1691,
1021,1712,
1022,1711,
1023,1738,
1024,1725,
1025,1737,
1026,1734,
1027,1725,
1028,1739,
1029,1742,
1030,1718,
1031,1756,
1032,1760,
1033,1746,
1034,1743,
1035,1743,
1036,1769,
1037,1754,
1038,1763,
1039,1766,
1040,1741,
1041,1754,
1042,1753,
1043,1747,
1044,1759,
1045,1758,
1046,1771,
1047,1784,
1048,1764,
1049,1754,
1050,1756,
1051,1756,
1052,1788,
1053,1750,
1054,1762,
1055,1761,
1056,1764,
1057,1754,
1058,1770,
1059,1761,
1060,1777,
1061,1771,
1062,1760,
1063,1779,
1064,1774,
1065,1780,
1066,1807,
1067,1750,
1068,1765,
1069,1767,
1070,1778,
1071,1774,
1072,1788,
1073,1780,
1074,1792,
1075,1766,
1076,1789,
1077,1789,
1078,1789,
1079,1769,
1080,1804,
1081,1790,
1082,1786,
1083,1807,
1084,1807,
1085,1797,
1086,1815,
1087,1794,
1088,1795,
1089,1807,
1090,1794,
1091,1781,
1092,1816,
1093,1816,
1094,1826,
1095,1842,
1096,1831,
1097,1830,
1098,1830,
1099,1824,
1100,1832,
1101,1814,
1102,1849,
1103,1837,
1104,1839,
1105,1821,
1106,1842,
1107,1843,
1108,1849,
1109,1850,
1110,1840,
1111,1866,
1112,1841,
1113,1854,
1114,1861,
1115,1863,
1116,1847,
1117,1886,
1118,1870,
1119,1894,
1120,1898,
1121,1901,
1122,1900,
1123,1887,
1124,1877,
1125,1924,
1126,1903,
1127,1920,
1128,1911,
1129,1904,
1130,1925,
1131,1923,
1132,1927,
1133,1886,
1134,1920,
1135,1915,
1136,1923,
1137,1931,
1138,1959,
1139,1944,
1140,1961,
1141,1969,
1142,1917,
1143,1946,
1144,1963,
1145,1960,
1146,1969,
1147,1986,
1148,1947,
1149,1991,
1150,1990,
1151,1979,
1152,1977,
1153,1989,
1154,1990,
1155,2004,
1156,1984,
1157,1981,
1158,2010,
1159,1978,
1160,1993,
1161,2000,
1162,1973,
1163,2013,
1164,1966,
1165,2009,
1166,1991,
1167,1987,
1168,2022,
1169,2018,
1170,2013,
1171,2007,
1172,2000,
1173,2026,
1174,2051,
1175,2005,
1176,2004,
1177,2035,
1178,2022,
1179,2012,
1180,2047,
1181,2048,
1182,2032,
1183,2024,
1184,2042,
1185,2048,
1186,2025,
1187,2027,
1188,2047,
1189,2019,
1190,2026,
1191,2049,
1192,2003,
1193,2013,
1194,2010,
1195,2024,
1196,2027,
1197,2011,
1198,2005,
1199,2040,
1200,2043,
1201,2037,
1202,2033,
1203,2012,
1204,2008,
1205,2015,
1206,2025,
1207,2015,
1208,1992,
1209,2042,
1210,2046,
1211,2025,
1212,2001,
1213,2004,
1214,2027,
1215,2007,
1216,2028,
1217,1995,
1218,2029,
1219,2029,
1220,2022,
1221,1995,
1222,2014,
1223,1983,
1224,1985,
1225,2006,
1226,2008,
1227,2012,
1228,2001,
1229,2010,
1230,2019,
1231,2026,
1232,2006,
1233,2016,
1234,1997,
1235,1998,
1236,2017,
1237,2021,
1238,2017,
1239,2028,
1240,2022,
1241,2016,
1242,2034,
1243,2041,
1244,2076,
1245,2059,
1246,2084,
1247,2049,
1248,2064,
1249,2053,
1250,2048,
1251,2082,
1252,2070,
1253,2084,
1254,2082,
1255,2086,
1256,2086,
1257,2084,
1258,2102,
1259,2097,
1260,2082,
1261,2113,
1262,2111,
1263,2107,
1264,2100,
1265,2116,
1266,2104,
1267,2114,
1268,2097,
1269,2096,
1270,2125,
1271,2123,
1272,2105,
1273,2084,
1274,2107,
1275,2142,
1276,2127,
1277,2118,
1278,2116,
1279,2115,
1280,2119,
1281,2111,
1282,2109,
1283,2107,
1284,2104,
1285,2103,
1286,2100,
1287,2088,
1288,2119,
