x0000,y0000
532,-16,
533,-17,
534,-23,
535,-9,
536,-11,
537,-5,
538,-13,
539,-15,
540,-20,
541,-14,
542,-18,
543,-16,
544,-13,
545,-13,
546,-9,
547,-15,
548,-13,
549,-17,
550,-15,
551,-9,
552,-19,
553,-15,
554,-12,
555,-18,
556,-17,
557,-10,
558,-16,
559,-14,
560,-14,
561,-10,
562,-29,
563,-10,
564,-15,
565,-16,
566,-16,
567,-16,
568,-14,
569,-8,
570,-14,
571,-18,
572,-17,
573,-17,
574,-20,
575,-24,
576,-18,
577,-11,
578,-19,
579,-22,
580,-11,
581,-28,
582,-13,
583,-16,
584,-13,
585,-25,
586,-13,
587,-13,
588,-9,
589,-19,
590,-4,
591,-9,
592,-15,
593,-15,
594,-10,
595,-17,
596,-11,
597,-11,
598,-13,
599,-16,
600,-14,
601,-7,
602,-16,
603,-8,
604,-26,
605,-23,
606,-9,
607,-11,
608,-13,
609,-12,
610,-13,
611,-9,
612,-16,
613,-11,
614,-10,
615,-5,
616,-8,
617,-5,
618,-19,
619,-3,
620,-10,
621,-11,
622,-3,
623,-4,
624,-12,
625,-9,
626,4,
627,-1,
628,0,
629,3,
630,2,
631,1,
632,-4,
633,-1,
634,10,
635,8,
636,7,
637,16,
638,14,
639,17,
640,18,
641,25,
642,31,
643,22,
644,25,
645,41,
646,42,
647,33,
648,51,
649,54,
650,66,
651,64,
652,68,
653,87,
654,102,
655,109,
656,108,
657,124,
658,128,
659,131,
660,144,
661,149,
662,159,
663,175,
664,191,
665,196,
666,217,
667,236,
668,230,
669,272,
670,281,
671,305,
672,324,
673,337,
674,344,
675,376,
676,433,
677,419,
678,456,
679,489,
680,494,
681,530,
682,544,
683,563,
684,599,
685,645,
686,652,
687,667,
688,708,
689,751,
690,802,
691,825,
692,849,
693,899,
694,933,
695,926,
696,934,
697,1060,
698,1074,
699,1140,
700,1142,
701,1164,
702,1233,
703,1261,
704,1268,
705,1256,
706,1304,
707,1297,
708,1400,
709,1417,
710,1408,
711,1503,
712,1518,
713,1551,
714,1561,
715,1570,
716,1591,
717,1669,
718,1650,
719,1607,
720,1745,
721,1708,
722,1705,
723,1718,
724,1740,
725,1714,
726,1780,
727,1766,
728,1715,
729,1772,
730,1707,
731,1753,
732,1746,
733,1670,
734,1675,
735,1709,
736,1631,
737,1559,
738,1599,
739,1475,
740,1495,
741,1555,
742,1462,
743,1434,
744,1397,
745,1382,
746,1280,
747,1258,
748,1215,
749,1105,
750,1105,
751,1104,
752,1027,
753,992,
754,925,
755,973,
756,937,
757,855,
758,845,
759,795,
760,793,
761,753,
762,731,
763,688,
764,682,
765,634,
766,626,
767,650,
768,580,
769,549,
770,556,
771,541,
772,517,
773,507,
774,495,
775,489,
776,467,
777,441,
778,423,
779,391,
780,389,
781,377,
782,382,
783,358,
784,369,
785,354,
786,336,
787,353,
788,331,
789,321,
790,298,
791,304,
792,287,
793,297,
794,280,
795,259,
796,261,
797,257,
798,263,
799,251,
800,230,
801,240,
802,246,
803,229,
804,228,
805,213,
806,222,
807,199,
808,208,
809,201,
810,208,
811,209,
812,186,
813,188,
814,185,
815,185,
816,174,
817,182,
818,182,
819,184,
820,167,
821,172,
822,160,
823,167,
824,162,
825,167,
826,178,
827,164,
828,165,
829,168,
830,157,
831,149,
832,146,
833,161,
834,158,
835,159,
836,159,
837,165,
838,163,
839,161,
840,161,
841,163,
842,160,
843,167,
844,169,
845,172,
846,171,
847,173,
848,175,
849,169,
850,186,
851,193,
852,182,
853,204,
854,205,
855,196,
856,206,
857,212,
858,213,
859,215,
860,215,
861,230,
862,224,
863,240,
864,237,
865,250,
866,262,
867,254,
868,273,
869,287,
870,290,
871,300,
872,299,
873,321,
874,330,
875,320,
876,347,
877,369,
878,370,
879,383,
880,397,
881,385,
882,416,
883,436,
884,441,
885,443,
886,474,
887,476,
888,498,
889,519,
890,529,
891,542,
892,554,
893,573,
894,577,
895,591,
896,613,
897,632,
898,642,
899,654,
900,676,
901,671,
902,705,
903,726,
904,731,
905,759,
906,788,
907,803,
908,813,
909,838,
910,844,
911,853,
912,876,
913,898,
914,906,
915,917,
916,952,
917,963,
918,965,
919,984,
920,1013,
921,1020,
922,1029,
923,1042,
924,1086,
925,1084,
926,1100,
927,1100,
928,1136,
929,1139,
930,1155,
931,1144,
932,1212,
933,1205,
934,1218,
935,1240,
936,1246,
937,1265,
938,1271,
939,1273,
940,1293,
941,1307,
942,1336,
943,1330,
944,1351,
945,1354,
946,1365,
947,1373,
948,1381,
949,1400,
950,1403,
951,1421,
952,1419,
953,1420,
954,1444,
955,1434,
956,1458,
957,1467,
958,1473,
959,1489,
960,1489,
961,1488,
962,1524,
963,1491,
964,1505,
965,1511,
966,1509,
967,1515,
968,1512,
969,1551,
970,1553,
971,1532,
972,1555,
973,1537,
974,1566,
975,1569,
976,1558,
977,1581,
978,1555,
979,1597,
980,1601,
981,1578,
982,1597,
983,1595,
984,1590,
985,1610,
986,1575,
987,1609,
988,1619,
989,1616,
990,1610,
991,1615,
992,1609,
993,1593,
994,1613,
995,1609,
996,1617,
997,1619,
998,1624,
999,1623,
1000,1614,
1001,1633,
1002,1628,
1003,1621,
1004,1609,
1005,1640,
1006,1622,
1007,1621,
1008,1626,
1009,1610,
1010,1619,
1011,1621,
1012,1621,
1013,1592,
1014,1619,
1015,1611,
1016,1615,
1017,1620,
1018,1608,
1019,1605,
1020,1607,
1021,1603,
1022,1609,
1023,1612,
1024,1600,
1025,1579,
1026,1605,
1027,1586,
1028,1608,
1029,1585,
1030,1569,
1031,1587,
1032,1579,
1033,1566,
1034,1545,
1035,1564,
1036,1573,
1037,1568,
1038,1557,
1039,1558,
1040,1551,
1041,1529,
1042,1533,
1043,1521,
1044,1518,
1045,1512,
1046,1514,
1047,1533,
1048,1501,
1049,1485,
1050,1497,
1051,1508,
1052,1492,
1053,1479,
1054,1467,
1055,1473,
1056,1468,
1057,1449,
1058,1464,
1059,1441,
1060,1453,
1061,1458,
1062,1440,
1063,1440,
1064,1430,
1065,1429,
1066,1440,
1067,1400,
1068,1414,
1069,1413,
1070,1397,
1071,1413,
1072,1407,
1073,1392,
1074,1425,
1075,1381,
1076,1385,
1077,1365,
1078,1373,
1079,1376,
1080,1354,
1081,1364,
1082,1328,
1083,1360,
1084,1343,
1085,1348,
1086,1338,
1087,1329,
1088,1308,
1089,1313,
1090,1307,
1091,1297,
1092,1303,
