x0000,y0000
638,135,
639,144,
640,144,
641,143,
642,146,
643,143,
644,136,
645,150,
646,156,
647,130,
648,150,
649,141,
650,150,
651,139,
652,143,
653,153,
654,169,
655,165,
656,151,
657,171,
658,169,
659,160,
660,159,
661,164,
662,160,
663,165,
664,162,
665,162,
666,160,
667,167,
668,143,
669,180,
670,162,
671,183,
672,174,
673,181,
674,175,
675,182,
676,193,
677,184,
678,178,
679,195,
680,178,
681,182,
682,188,
683,187,
684,189,
685,193,
686,192,
687,190,
688,193,
689,197,
690,206,
691,196,
692,201,
693,210,
694,213,
695,207,
696,208,
697,225,
698,223,
699,229,
700,233,
701,235,
702,228,
703,233,
704,230,
705,222,
706,241,
707,219,
708,239,
709,237,
710,228,
711,252,
712,254,
713,239,
714,248,
715,243,
716,254,
717,264,
718,261,
719,251,
720,269,
721,257,
722,259,
723,263,
724,266,
725,266,
726,282,
727,278,
728,266,
729,271,
730,273,
731,283,
732,272,
733,284,
734,287,
735,285,
736,269,
737,294,
738,289,
739,272,
740,294,
741,313,
742,305,
743,304,
744,292,
745,322,
746,301,
747,309,
748,314,
749,299,
750,300,
751,331,
752,319,
753,311,
754,313,
755,338,
756,331,
757,321,
758,325,
759,338,
760,351,
761,346,
762,344,
763,339,
764,342,
765,339,
766,348,
767,368,
768,357,
769,361,
770,373,
771,374,
772,375,
773,378,
774,386,
775,395,
776,389,
777,384,
778,392,
779,392,
780,403,
781,400,
782,416,
783,409,
784,433,
785,439,
786,441,
787,446,
788,459,
789,447,
790,451,
791,477,
792,458,
793,479,
794,482,
795,469,
796,495,
797,497,
798,514,
799,500,
800,505,
801,535,
802,550,
803,563,
804,544,
805,563,
806,585,
807,546,
808,562,
809,589,
810,610,
811,599,
812,635,
813,614,
814,626,
815,653,
816,654,
817,664,
818,674,
819,677,
820,680,
821,700,
822,692,
823,712,
824,722,
825,733,
826,756,
827,762,
828,773,
829,779,
830,801,
831,798,
832,803,
833,824,
834,825,
835,851,
836,857,
837,862,
838,884,
839,882,
840,884,
841,899,
842,915,
843,931,
844,914,
845,951,
846,938,
847,940,
848,969,
849,968,
850,1004,
851,998,
852,1017,
853,1041,
854,1055,
855,1054,
856,1039,
857,1079,
858,1081,
859,1095,
860,1093,
861,1108,
862,1100,
863,1116,
864,1119,
865,1137,
866,1132,
867,1174,
868,1184,
869,1188,
870,1199,
871,1205,
872,1213,
873,1228,
874,1234,
875,1249,
876,1260,
877,1263,
878,1266,
879,1275,
880,1286,
881,1301,
882,1322,
883,1322,
884,1330,
885,1348,
886,1356,
887,1344,
888,1366,
889,1382,
890,1392,
891,1395,
892,1405,
893,1420,
894,1423,
895,1445,
896,1415,
897,1453,
898,1465,
899,1466,
900,1482,
901,1458,
902,1483,
903,1500,
904,1486,
905,1528,
906,1516,
907,1520,
908,1556,
909,1549,
910,1564,
911,1568,
912,1553,
913,1575,
914,1595,
915,1596,
916,1596,
917,1643,
918,1627,
919,1618,
920,1616,
921,1642,
922,1636,
923,1658,
924,1668,
925,1650,
926,1683,
927,1680,
928,1702,
929,1682,
930,1693,
931,1659,
932,1707,
933,1735,
934,1728,
935,1729,
936,1737,
937,1761,
938,1767,
939,1781,
940,1777,
941,1762,
942,1787,
943,1786,
944,1806,
945,1798,
946,1811,
947,1801,
948,1844,
949,1848,
950,1858,
951,1829,
952,1841,
953,1856,
954,1878,
955,1878,
956,1884,
957,1870,
958,1888,
959,1902,
960,1909,
961,1901,
962,1905,
963,1897,
964,1918,
965,1970,
966,1932,
967,1938,
968,1931,
969,1964,
970,1984,
971,1960,
972,1979,
973,1965,
974,2001,
975,1986,
976,2006,
977,2040,
978,2006,
979,2012,
980,2041,
981,2067,
982,2044,
983,2090,
984,2089,
985,2090,
986,2046,
987,2088,
988,2113,
989,2141,
990,2125,
991,2138,
992,2154,
993,2138,
994,2139,
995,2174,
996,2157,
997,2185,
998,2187,
999,2185,
1000,2202,
1001,2211,
1002,2245,
1003,2232,
1004,2188,
1005,2244,
1006,2247,
1007,2281,
1008,2285,
1009,2267,
1010,2265,
1011,2282,
1012,2290,
1013,2339,
1014,2297,
1015,2319,
1016,2291,
1017,2306,
1018,2306,
1019,2354,
1020,2361,
1021,2346,
1022,2374,
1023,2387,
1024,2387,
1025,2399,
1026,2424,
1027,2394,
1028,2386,
1029,2421,
1030,2400,
1031,2446,
1032,2432,
1033,2405,
1034,2424,
1035,2434,
1036,2433,
1037,2436,
1038,2434,
1039,2442,
1040,2454,
1041,2476,
1042,2459,
1043,2462,
1044,2476,
1045,2487,
1046,2478,
1047,2501,
1048,2494,
1049,2497,
1050,2506,
1051,2519,
1052,2512,
1053,2510,
1054,2514,
1055,2500,
1056,2514,
1057,2515,
1058,2545,
1059,2521,
1060,2525,
1061,2527,
1062,2522,
1063,2546,
1064,2568,
1065,2548,
1066,2599,
1067,2549,
1068,2571,
1069,2567,
1070,2568,
1071,2575,
1072,2596,
1073,2592,
1074,2626,
1075,2606,
1076,2625,
1077,2594,
1078,2621,
1079,2627,
1080,2635,
1081,2651,
1082,2649,
1083,2686,
1084,2684,
1085,2650,
1086,2670,
1087,2675,
1088,2650,
1089,2674,
1090,2683,
1091,2671,
1092,2696,
1093,2700,
1094,2728,
