x0000,y0000
638,251,
639,261,
640,265,
641,258,
642,267,
643,264,
644,242,
645,271,
646,279,
647,253,
648,257,
649,257,
650,262,
651,246,
652,256,
653,262,
654,272,
655,266,
656,247,
657,263,
658,278,
659,277,
660,274,
661,288,
662,282,
663,270,
664,266,
665,256,
666,263,
667,265,
668,242,
669,280,
670,267,
671,291,
672,281,
673,274,
674,264,
675,274,
676,282,
677,269,
678,269,
679,289,
680,268,
681,274,
682,269,
683,269,
684,249,
685,250,
686,234,
687,214,
688,231,
689,264,
690,286,
691,276,
692,287,
693,292,
694,310,
695,302,
696,273,
697,290,
698,294,
699,319,
700,305,
701,320,
702,334,
703,337,
704,341,
705,313,
706,329,
707,305,
708,319,
709,310,
710,303,
711,324,
712,336,
713,331,
714,317,
715,317,
716,334,
717,353,
718,355,
719,351,
720,381,
721,362,
722,356,
723,354,
724,365,
725,364,
726,370,
727,380,
728,353,
729,353,
730,345,
731,361,
732,350,
733,351,
734,366,
735,379,
736,350,
737,375,
738,379,
739,350,
740,358,
741,382,
742,391,
743,396,
744,403,
745,415,
746,396,
747,395,
748,380,
749,361,
750,366,
751,372,
752,359,
753,378,
754,368,
755,400,
756,381,
757,369,
758,373,
759,397,
760,414,
761,413,
762,413,
763,391,
764,396,
765,385,
766,398,
767,420,
768,391,
769,393,
770,409,
771,402,
772,408,
773,420,
774,425,
775,435,
776,446,
777,437,
778,431,
779,436,
780,426,
781,432,
782,438,
783,424,
784,446,
785,452,
786,448,
787,475,
788,467,
789,450,
790,446,
791,471,
792,464,
793,463,
794,471,
795,462,
796,479,
797,485,
798,481,
799,470,
800,471,
801,495,
802,502,
803,522,
804,508,
805,523,
806,536,
807,512,
808,525,
809,533,
810,552,
811,575,
812,581,
813,563,
814,562,
815,576,
816,559,
817,588,
818,577,
819,578,
820,594,
821,608,
822,602,
823,608,
824,624,
825,643,
826,649,
827,649,
828,646,
829,652,
830,653,
831,652,
832,660,
833,694,
834,689,
835,685,
836,686,
837,686,
838,700,
839,672,
840,701,
841,701,
842,699,
843,664,
844,632,
845,619,
846,631,
847,634,
848,648,
849,655,
850,688,
851,716,
852,719,
853,716,
854,736,
855,748,
856,759,
857,764,
858,752,
859,771,
860,753,
861,741,
862,744,
863,743,
864,736,
865,763,
866,774,
867,755,
868,764,
869,803,
870,800,
871,806,
872,798,
873,794,
874,800,
875,805,
876,805,
877,818,
878,800,
879,792,
880,783,
881,780,
882,795,
883,808,
884,810,
885,799,
886,785,
887,778,
888,788,
889,763,
890,767,
891,781,
892,768,
