x0000,y0000
624,216,
625,219,
626,232,
627,221,
628,229,
629,228,
630,235,
631,238,
632,218,
633,223,
634,230,
635,247,
636,230,
637,236,
638,237,
639,240,
640,246,
641,252,
642,248,
643,239,
644,235,
645,246,
646,253,
647,236,
648,253,
649,258,
650,259,
651,254,
652,262,
653,267,
654,275,
655,271,
656,272,
657,283,
658,301,
659,295,
660,290,
661,300,
662,285,
663,309,
664,314,
665,306,
666,302,
667,321,
668,290,
669,322,
670,326,
671,326,
672,340,
673,351,
674,349,
675,354,
676,358,
677,363,
678,365,
679,394,
680,380,
681,380,
682,389,
683,405,
684,411,
685,427,
686,432,
687,440,
688,452,
689,447,
690,463,
691,456,
692,466,
693,486,
694,499,
695,492,
696,494,
697,545,
698,552,
699,550,
700,548,
701,570,
702,577,
703,599,
704,597,
705,596,
706,612,
707,605,
708,629,
709,647,
710,646,
711,670,
712,682,
713,694,
714,700,
715,708,
716,714,
717,728,
718,750,
719,715,
720,774,
721,758,
722,781,
723,774,
724,789,
725,780,
726,820,
727,813,
728,795,
729,828,
730,804,
731,844,
732,818,
733,795,
734,810,
735,847,
736,819,
737,799,
738,816,
739,772,
740,824,
741,828,
742,828,
743,804,
744,809,
745,812,
746,784,
747,775,
748,773,
749,749,
750,721,
751,736,
752,725,
753,719,
754,691,
755,718,
756,675,
757,669,
758,649,
759,644,
760,659,
761,626,
762,609,
763,597,
764,594,
765,586,
766,591,
767,590,
768,562,
769,548,
770,569,
771,556,
772,519,
773,532,
774,525,
775,518,
776,533,
777,511,
778,506,
779,486,
780,491,
781,483,
782,480,
783,472,
784,485,
785,486,
786,477,
787,474,
788,474,
789,450,
790,447,
791,458,
792,449,
793,448,
794,456,
795,442,
796,444,
797,449,
798,446,
799,436,
800,437,
801,430,
802,431,
803,431,
804,424,
805,425,
806,428,
807,414,
808,414,
809,410,
810,411,
811,420,
812,409,
813,413,
814,402,
815,407,
816,400,
817,411,
818,405,
819,396,
820,399,
821,388,
822,399,
823,384,
824,386,
825,397,
826,409,
827,396,
828,386,
829,387,
830,389,
831,383,
832,390,
833,395,
834,400,
835,380,
836,401,
837,378,
838,396,
839,387,
840,374,
841,381,
842,389,
843,390,
844,401,
845,404,
846,387,
847,393,
848,385,
849,366,
850,389,
851,387,
852,399,
853,405,
854,403,
855,394,
856,400,
857,397,
858,392,
859,398,
860,398,
861,415,
862,412,
863,406,
864,404,
865,415,
866,405,
867,411,
868,416,
869,428,
870,427,
871,424,
872,429,
873,445,
874,446,
875,446,
876,448,
877,463,
878,453,
879,457,
880,465,
881,464,
882,488,
883,474,
884,487,
885,490,
886,497,
887,499,
888,512,
889,506,
890,509,
891,515,
892,512,
893,537,
894,542,
895,542,
896,552,
897,551,
898,562,
899,580,
900,577,
901,574,
902,585,
903,600,
904,608,
905,603,
906,608,
907,632,
908,651,
909,640,
910,641,
911,659,
912,659,
913,673,
914,702,
915,687,
916,696,
917,711,
918,705,
919,709,
920,728,
921,718,
922,725,
923,743,
924,750,
925,758,
926,776,
927,787,
928,779,
929,774,
930,802,
931,803,
932,816,
933,818,
934,831,
935,839,
936,845,
937,861,
938,863,
939,867,
940,870,
941,880,
942,870,
943,886,
944,877,
945,895,
946,913,
947,906,
948,927,
949,932,
950,923,
951,952,
952,946,
953,937,
954,951,
955,948,
956,951,
957,953,
958,973,
959,960,
960,972,
961,957,
962,978,
963,997,
964,990,
965,1000,
966,984,
967,985,
968,1002,
969,1005,
970,1006,
971,1013,
972,1006,
973,1019,
974,1015,
975,1033,
976,1025,
977,1056,
978,1029,
979,1041,
980,1041,
981,1049,
982,1052,
983,1053,
984,1054,
985,1062,
986,1033,
987,1034,
988,1061,
989,1050,
990,1057,
991,1049,
992,1083,
993,1054,
994,1062,
995,1065,
996,1054,
997,1060,
998,1078,
999,1067,
1000,1073,
1001,1069,
1002,1081,
1003,1068,
1004,1069,
1005,1090,
1006,1072,
1007,1090,
1008,1087,
1009,1071,
1010,1075,
1011,1100,
1012,1079,
1013,1080,
1014,1080,
1015,1064,
1016,1074,
1017,1071,
1018,1077,
1019,1073,
1020,1067,
1021,1075,
1022,1084,
1023,1074,
1024,1066,
1025,1054,
1026,1071,
1027,1055,
1028,1072,
1029,1076,
1030,1064,
1031,1075,
1032,1076,
1033,1075,
1034,1071,
1035,1063,
1036,1057,
1037,1059,
1038,1052,
1039,1045,
1040,1062,
1041,1051,
1042,1047,
1043,1040,
1044,1056,
1045,1036,
1046,1048,
1047,1041,
1048,1054,
1049,1016,
1050,1035,
1051,1020,
1052,1032,
1053,1026,
1054,1040,
1055,1017,
1056,1029,
1057,1026,
1058,1014,
1059,998,
1060,1032,
1061,1022,
1062,1021,
1063,1002,
1064,995,
1065,991,
1066,1009,
1067,997,
1068,986,
1069,990,
1070,963,
1071,991,
1072,994,
1073,972,
1074,980,
1075,991,
1076,973,
1077,979,
1078,970,
1079,975,
1080,973,
1081,961,
1082,967,
1083,966,
1084,955,
1085,954,
1086,958,
1087,938,
1088,954,
1089,947,
1090,935,
1091,938,
1092,926,
1093,934,
1094,939,
1095,937,
1096,929,
1097,918,
1098,948,
1099,911,
1100,931,
1101,916,
1102,929,
1103,911,
1104,935,
1105,915,
1106,904,
1107,900,
1108,892,
1109,903,
1110,887,
1111,891,
1112,883,
1113,907,
1114,875,
1115,877,
1116,880,
1117,886,
1118,892,
1119,888,
1120,895,
1121,874,
1122,886,
1123,870,
1124,868,
1125,864,
1126,880,
1127,861,
1128,872,
1129,853,
1130,854,
1131,855,
1132,857,
1133,837,
1134,850,
1135,843,
1136,841,
1137,824,
1138,834,
1139,842,
1140,833,
1141,833,
1142,824,
1143,814,
1144,823,
1145,831,
1146,816,
1147,811,
1148,812,
1149,807,
1150,804,
1151,811,
1152,792,
1153,797,
1154,803,
1155,810,
1156,811,
1157,797,
1158,794,
1159,779,
1160,773,
1161,786,
1162,759,
1163,765,
1164,759,
1165,768,
1166,758,
1167,775,
1168,753,
1169,760,
1170,747,
1171,749,
1172,742,
1173,743,
1174,743,
1175,734,
1176,741,
1177,743,
1178,725,
1179,721,
1180,723,
1181,724,
1182,724,
1183,719,
1184,719,
1185,707,
1186,702,
1187,715,
1188,692,
1189,672,
1190,693,
1191,698,
1192,685,
1193,677,
1194,662,
1195,673,
1196,660,
1197,668,
1198,646,
1199,660,
1200,663,
1201,662,
1202,641,
1203,658,
1204,637,
1205,642,
1206,635,
1207,632,
1208,628,
1209,626,
1210,641,
1211,621,
1212,603,
1213,611,
1214,619,
1215,608,
1216,602,
